event_date,fighter1,fighter2,pass_stat_f1,pass_stat_f2,str_stat_f1,str_stat_f2,sub_stat_f1,sub_stat_f2,td_stat_f1,td_stat_f2,winner
August 04 2018,TJ Dillashaw,Cody Garbrandt,0,0,45,17,0,0,0,0,TJ Dillashaw
August 04 2018,Henry Cejudo,Demetrious Johnson,2,0,51,81,0,0,3,1,Henry Cejudo
August 04 2018,Renato Moicano,Cub Swanson,4,0,17,20,1,0,1,0,Renato Moicano
August 04 2018,JJ Aldrich,Polyana Viana,1,1,40,46,0,0,0,1,JJ Aldrich
August 04 2018,Thiago Santos,Kevin Holland,8,2,69,31,1,1,3,0,Thiago Santos
August 04 2018,Pedro Munhoz,Brett Johns,4,0,117,73,1,0,0,0,Pedro Munhoz
July 22 2018,Anthony Smith,Mauricio Rua,0,0,23,4,0,0,0,0,Anthony Smith
August 04 2018,Ricky Simon,Montel Jackson,4,0,25,42,0,0,7,2,Ricky Simon
August 04 2018,Ricardo Ramos,Kyung Ho Kang,0,1,54,65,1,0,1,1,Ricardo Ramos
August 04 2018,Sheymon Moraes,Matt Sayles,0,0,73,77,0,0,0,0,Sheymon Moraes
July 22 2018,Corey Anderson,Glover Teixeira,7,0,48,20,0,1,7,0,Corey Anderson
July 22 2018,Abu Azaitar,Vitor Miranda,2,6,48,19,0,1,1,3,Abu Azaitar
July 22 2018,Marcin Tybura,Stefan Struve,3,0,41,31,0,0,5,0,Marcin Tybura
August 04 2018,Alex Perez,Jose Torres,0,0,84,29,0,0,0,0,Alex Perez
August 04 2018,Weili Zhang,Danielle Taylor,1,0,77,34,0,1,1,0,Weili Zhang
August 04 2018,Marlon Vera,Wuliji Buren,1,0,45,31,0,0,1,2,Marlon Vera
September 22 2018,Thiago Santos,Eryk Anders,1,2,100,32,0,1,1,6,Thiago Santos
September 22 2018,Alex Oliveira,Carlo Pedersoli,0,0,7,2,0,0,0,0,Alex Oliveira
July 22 2018,Danny Roberts,David Zawada,4,3,45,33,1,5,0,2,Danny Roberts
July 22 2018,Nasrat Haqparast,Marc Diakiese,0,0,93,50,0,0,0,0,Nasrat Haqparast
July 22 2018,Damir Hadzovic,Nick Hein,0,0,71,43,0,0,0,0,Damir Hadzovic
September 22 2018,Rogerio Nogueira,Sam Alvey,0,0,26,34,0,0,0,0,Rogerio Nogueira
September 22 2018,Andre Ewell,Renan Barao,0,3,53,44,0,2,1,3,Andre Ewell
September 22 2018,Randa Markos,Marina Rodriguez,4,0,48,60,0,0,2,0,Randa Markos
September 22 2018,Charles Oliveira,Christos Giagos,3,0,28,18,1,0,2,0,Charles Oliveira
September 22 2018,Francisco Trinaldo,Evan Dunham,1,0,28,25,0,0,0,1,Francisco Trinaldo
July 22 2018,Bartosz Fabinski,Emil Meek,8,0,35,21,0,1,6,0,Bartosz Fabinski
July 22 2018,Nad Narimani,Khalid Taha,6,0,45,32,0,0,6,0,Nad Narimani
July 22 2018,Aleksandar Rakic,Justin Ledet,4,0,104,12,0,0,3,0,Aleksandar Rakic
July 22 2018,Manny Bermudez,Davey Grant,1,0,3,4,2,0,0,0,Manny Bermudez
July 22 2018,Darko Stosic,Jeremy Kimball,0,0,9,4,0,0,0,0,Darko Stosic
