winner,pass_stat_f1,pass_stat_f2,str_stat_f1,str_stat_f2,sub_stat_f1,sub_stat_f2,td_stat_f1,td_stat_f2
TJ Dillashaw,0,0,45,17,0,0,0,0
Henry Cejudo,2,0,51,81,0,0,3,1
Renato Moicano,4,0,17,20,1,0,1,0
JJ Aldrich,1,1,40,46,0,0,0,1
Thiago Santos,8,2,69,31,1,1,3,0
Pedro Munhoz,4,0,117,73,1,0,0,0
Anthony Smith,0,0,23,4,0,0,0,0
Ricky Simon,4,0,25,42,0,0,7,2
Ricardo Ramos,0,1,54,65,1,0,1,1
Sheymon Moraes,0,0,73,77,0,0,0,0
Corey Anderson,7,0,48,20,0,1,7,0
Abu Azaitar,2,6,48,19,0,1,1,3
Marcin Tybura,3,0,41,31,0,0,5,0
Alex Perez,0,0,84,29,0,0,0,0
Weili Zhang,1,0,77,34,0,1,1,0
Marlon Vera,1,0,45,31,0,0,1,2
Thiago Santos,1,2,100,32,0,1,1,6
Alex Oliveira,0,0,7,2,0,0,0,0
Danny Roberts,4,3,45,33,1,5,0,2
Nasrat Haqparast,0,0,93,50,0,0,0,0
Damir Hadzovic,0,0,71,43,0,0,0,0
Rogerio Nogueira,0,0,26,34,0,0,0,0
Andre Ewell,0,3,53,44,0,2,1,3
Randa Markos,4,0,48,60,0,0,2,0
Charles Oliveira,3,0,28,18,1,0,2,0
Francisco Trinaldo,1,0,28,25,0,0,0,1
Bartosz Fabinski,8,0,35,21,0,1,6,0
Nad Narimani,6,0,45,32,0,0,6,0
Aleksandar Rakic,4,0,104,12,0,0,3,0
Manny Bermudez,1,0,3,4,2,0,0,0
Darko Stosic,0,0,9,4,0,0,0,0
Liu Pingyuan,0,2,32,24,2,0,1,3
Justin Gaethje,0,0,7,10,0,0,0,0
Michael Johnson,0,1,65,37,0,1,0,2
Cortney Casey,1,0,111,121,0,0,1,1
Bryan Barberena,0,0,19,12,0,0,0,0
Deiveson Figueiredo,2,0,29,14,1,1,2,0
Ryan Spann,5,2,46,30,1,1,0,4
Augusto Sakai,1,0,111,79,0,0,1,0
Sergio Moraes,4,1,2,1,2,0,2,0
Mayra Bueno Silva,0,2,11,11,1,0,0,1
Thales Leites,0,0,54,46,0,0,2,0
Elizeu Zaleski dos Santos,0,1,15,4,0,1,0,0
Livinha Souza,2,0,10,4,1,0,1,0
Eryk Anders,1,0,42,43,0,0,0,2
James Krause,0,0,59,28,0,0,0,1
Cory Sandhagen,2,0,66,9,0,2,0,1
Andrew Sanchez,0,0,73,54,0,0,0,0
Mickey Gall,1,0,0,0,1,0,1,0
Joanne Calderwood,0,3,5,13,2,0,0,1
Drew Dober,3,0,60,33,0,1,2,0
Rani Yahya,0,0,4,2,2,0,0,0
Khabib Nurmagomedov,5,0,70,51,1,0,3,0
Tony Ferguson,0,0,114,45,0,0,0,0
Dominick Reyes,0,0,94,38,0,0,0,1
Derrick Lewis,0,3,39,121,0,0,0,1
Michelle Waterson,2,0,76,51,0,0,0,1
Jussier Formiga,2,0,18,30,0,0,2,0
Vicente Luque,0,0,41,31,0,0,0,0
Aspen Ladd,1,0,50,9,0,0,0,0
Scott Holtzman,4,0,73,25,0,0,1,0
Yana Kunitskaya,2,0,72,43,1,1,5,0
Nik Lentz,3,0,75,13,1,0,2,0
Anthony Rocco Martin,4,0,36,35,1,0,0,0
Santiago Ponzinibbio,0,0,79,72,0,0,0,0
Ricardo Lamas,1,2,70,62,0,0,3,3
Johnny Walker,0,0,10,4,0,0,0,0
Francis Ngannou,0,0,13,1,0,0,0,0
Ian Heinisch,1,1,55,26,2,0,1,5
Marlon Vera,1,1,24,24,2,0,2,2
Cynthia Calvillo,2,0,22,6,1,0,2,0
Michel Prazeres,3,0,18,1,1,0,1,0
Alexandre Pantoja,1,0,4,7,2,0,0,0
Alistair Overeem,0,0,22,13,0,0,1,0
Song Yadong,2,0,79,74,0,0,2,0
Jingliang Li,2,1,89,73,0,0,1,0
Alex Morono,0,0,98,61,0,0,0,0
Yanan Wu,0,0,18,17,1,0,0,0
Rashad Coulter,0,0,98,92,0,0,0,0
Weili Zhang,2,0,45,9,2,0,1,0
Austin Arnett,1,0,74,30,0,0,1,2
Laureano Staropoli,0,0,97,69,0,0,0,0
Jesus Pinedo,0,0,60,58,0,0,5,0
Nad Narimani,2,0,84,46,0,1,1,0
Kamaru Usman,7,0,130,62,0,2,12,0
Juan Espino,4,0,22,4,2,0,2,0
Macy Chiasson,2,0,24,19,2,1,0,0
Pedro Munhoz,0,0,35,20,0,0,0,0
Edmen Shahbazyan,3,0,22,34,0,0,8,1
Antonina Shevchenko,1,0,66,33,0,0,2,0
Kevin Aguilar,2,0,86,74,0,0,0,0
Liu Pingyuan,2,0,55,100,2,2,0,1
Xiaonan Yan,0,0,150,86,0,0,0,0
Kevin Holland,8,0,123,51,2,0,5,0
Louis Smolka,3,0,32,18,1,2,2,0
Joseph Benavidez,0,0,35,14,0,0,1,1
Maurice Greene,0,0,9,0,1,0,0,1
Leah Letson,0,0,73,57,0,1,0,0
Roosevelt Roberts,0,0,16,10,1,0,0,0
